IDDIST;LONGITUD;LATITUD
030103;-72.89154816;-13.97420311
030104;-72.61807251;-13.6388464
030105;-72.9752655;-13.47610092
030106;-72.78830719;-13.80404091
030107;-73.03160858;-13.7847805
030108;-72.81413269;-13.48881626
030109;-72.8724823;-13.57815361
030201;-73.38796997;-13.76820755
030202;-73.38850403;-13.49742222
030203;-73.61544037;-13.87985992
030204;-73.02809143;-13.65681934
030205;-73.54693604;-13.76956844
030206;-73.55092621;-13.98961353
030207;-73.16265869;-13.66530132
030208;-73.12965393;-13.53602409
030209;-73.30909729;-13.59831715
030210;-73.47853851;-14.29603004
030211;-73.49177551;-14.09626675
030212;-73.65789795;-13.78950882
030213;-73.27400208;-13.71664715
030214;-73.60244751;-13.96204758
030215;-73.5463028;-13.66119194
030216;-73.45326233;-13.62757969
030217;-73.45821381;-13.96923161
030218;-73.47257996;-13.79064178
030219;-73.27931213;-13.51155186
030220;-73.32386017;-13.80940151
030301;-72.75009155;-14.51799297
030302;-73.03554535;-14.15789604
030303;-72.78668976;-14.34028816
030304;-72.90849304;-14.55862522
030305;-72.52307129;-14.4359808
030306;-72.97920227;-14.21900654
030307;-72.98008728;-14.32294655
030401;-73.22922516;-14.29423046
030402;-73.35372162;-14.11557102
030403;-73.09448242;-14.419384
030404;-73.08667755;-14.00781345
030405;-73.25835419;-13.9769516
030406;-73.29517365;-14.58892536
030407;-73.2437973;-14.09788609
030408;-73.19767761;-14.13043594
030409;-73.24567413;-13.9159174
030410;-73.08740234;-14.22394466
030411;-73.19400024;-13.8850317
030412;-73.35824585;-14.33256149
030413;-73.28450012;-14.17082119
030414;-73.11791992;-14.10559845
030415;-73.13430786;-13.90347099
030416;-73.31388092;-14.02465248
030417;-73.15995026;-14.23136997
030501;-72.21295166;-13.91707706
030502;-72.34121704;-13.75128078
030503;-72.39528656;-13.91896057
030504;-72.23069;-14.27719975
030505;-72.11509705;-14.04508495
030506;-72.3105545;-14.1714468
030601;-73.74816132;-13.51866245
030602;-73.66913605;-13.54423141
030603;-73.74804688;-13.61160374
030604;-73.73119354;-13.31950283
030605;-73.51951599;-13.50607777
030606;-73.6506424;-13.41542339
030607;-73.65231323;-13.66843987
030608;-73.59654999;-13.54770756
030609;-73.61703491;-13.45553589
030610;-73.55500031;-13.39776802
030611;-73.79143524;-13.39015961
030701;-72.77459717;-14.11735535
030702;-72.64984131;-13.96889019
030703;-72.55969238;-13.83067608
030704;-72.4957428;-13.96649647
030705;-72.56708527;-14.21210289
030706;-72.57476807;-14.13991737
030707;-72.75789642;-14.22611713
030708;-72.44705963;-14.09869194
030709;-72.60616302;-14.17549706
030710;-72.66060638;-14.12611103
030711;-72.63722229;-14.23195934
030712;-72.63661957;-14.07872295
030713;-72.67717743;-14.29103756
030714;-72.53188324;-14.10275555
040101;-71.53843689;-16.40637398
040102;-71.48576355;-16.33094597
040103;-71.45706177;-16.25272179
040104;-71.57640839;-16.30444717
040105;-71.38291168;-16.45775604
040106;-71.35878754;-16.37558174
040107;-71.56342316;-16.45890045
040108;-71.79573822;-16.58841896
040109;-71.4630127;-16.37536621
040110;-71.47146606;-16.35661125
040111;-71.47475433;-16.50417137
040112;-71.47823334;-16.42019463
040113;-71.33208466;-16.49887085
040114;-71.35744476;-16.6420002
040115;-71.44281769;-16.5441227
040116;-71.45969391;-16.44805908
040117;-71.57678223;-16.42116165
040118;-72.16236877;-16.40501595
040119;-71.0970459;-16.19381142
040120;-72.0633316;-16.26768112
040121;-72.14409637;-16.52291107
040122;-71.53442383;-16.47367668
040123;-71.59938812;-16.46352196
040124;-71.69054413;-16.46094322
040125;-71.98783875;-16.48931694
040126;-71.54788971;-16.39394188
040127;-71.54981232;-16.61350441
040128;-71.60633087;-16.13093758
040129;-71.52365875;-16.43135262
040201;-72.71226501;-16.63047409
040202;-72.73701477;-16.59673309
040203;-73.13605499;-16.07823753
040204;-72.83235931;-16.45565224
040205;-72.63404846;-16.47943306
040206;-73.0109024;-16.27799606
040207;-72.35198975;-16.70073318
040208;-72.65242004;-16.60132027
040301;-73.3318634;-15.82919216
040302;-74.55820465;-15.34166908
040303;-73.53826904;-16.05303192
040304;-74.30355072;-15.68917561
040305;-74.76152802;-15.37541008
040306;-73.43170166;-15.54065323
040307;-74.18978119;-15.76951599
040308;-73.94515991;-15.82484913
040309;-74.06285095;-15.55574417
040310;-74.39804077;-15.44908619
040311;-74.93515015;-15.38675213
040312;-73.73035431;-15.56735516
040313;-74.42893219;-15.63354492
040401;-72.5681839;-16.02724075
040402;-72.37688446;-15.48506832
040403;-72.28501129;-15.64095879
040404;-72.11614227;-15.18212605
040405;-72.38507843;-15.35058594
040406;-72.06874084;-15.41413403
040407;-72.36820984;-16.0124054
040408;-72.47187805;-15.60114098
040409;-72.24858093;-15.11611366
040410;-72.6190033;-15.67075634
040411;-72.49990082;-15.7508316
040412;-72.38304901;-15.75707245
040413;-72.52553558;-16.26159859
040414;-72.56681061;-15.61639404
040501;-71.55004883;-15.64008331
040502;-71.69589233;-15.82217503
040503;-71.95941925;-15.67464256
040504;-71.24855804;-15.52115631
040505;-71.79666901;-15.15170383
040506;-71.6410141;-15.59127426
040507;-72.16048431;-15.79625416
040508;-71.82798004;-16.00643539
040509;-71.70528412;-15.58620262
040510;-71.76042175;-15.47991753
040511;-72.01842499;-15.96761703
040512;-71.79719543;-15.73127365
040513;-71.85748291;-15.54138756
040514;-71.0974884;-15.83092976
040515;-71.54598236;-15.36174011
040516;-71.93600464;-15.42682457
040517;-71.39229584;-15.2127018
040518;-71.5975647;-15.48307133
040519;-71.45531464;-15.79009533
040520;-72.29637909;-16.3527832
040601;-72.72087097;-16.04338646
040602;-72.84391785;-15.85252285
040603;-72.28907776;-15.01469898
040604;-72.94581604;-15.53451443
040605;-72.60066986;-15.91300297
040606;-73.1265564;-15.88088703
040607;-72.69742584;-15.40616417
040608;-73.02911377;-15.70196819
040701;-71.87877655;-16.85738373
040702;-71.59952545;-16.92887688
040703;-71.82963562;-17.09799385
040704;-72.10224152;-16.87633705
040705;-71.87828827;-17.03556252
040706;-71.55075836;-17.16003609
040801;-72.86147308;-15.2763319
040802;-72.7118454;-15.16748333
040803;-73.04885101;-15.2109108
040804;-72.76139069;-14.87494755
040805;-72.930336;-14.98956966
040806;-72.54724121;-14.93897152
040807;-73.07040405;-15.28979683
040808;-73.2453537;-15.32498741
040809;-73.17263794;-15.40421867
040810;-72.78513336;-15.21319866
040811;-73.01613617;-15.40476704
050101;-74.2522049;-13.13476849
050102;-74.0209198;-13.30430984
050103;-74.05574799;-13.12796688
050104;-74.23480225;-13.2046957
050105;-74.15856171;-13.37573242
050106;-73.90050507;-13.39262867
050107;-74.23188019;-13.05349445
050108;-74.13431549;-13.0613575
050109;-74.32608032;-13.12503052
050110;-74.21257019;-13.1954298
050111;-74.36413574;-13.07471466
050112;-74.28431702;-13.26146221
050113;-74.14225006;-13.19023037
050114;-74.45649719;-13.30629063
050115;-74.20860291;-13.12194538
050116;-74.20050812;-13.15463734
050201;-74.10988617;-13.59973145
050202;-74.43630219;-13.49313354
050203;-74.22543335;-13.49417973
050204;-74.27594757;-13.56814289
050205;-74.71964264;-13.46077728
050206;-74.50110626;-13.55614376
050301;-74.55976105;-14.00102043
050302;-74.30358124;-13.81206322
050303;-74.22248077;-13.98393726
050304;-74.53295135;-13.82627583
050401;-74.2113266;-12.91202068
050402;-74.30535889;-12.53151894
050403;-74.15916443;-12.99263763
050404;-74.2177887;-12.9830637
050405;-74.27440643;-12.86081791
050406;-74.24190521;-12.67119122
050407;-73.99654388;-12.60382843
050408;-74.08250427;-12.4444313
050409;-74.10205078;-12.34058666
050410;-74.09313965;-12.7845459
050411;-74.38302612;-12.33950329
050412;-74.19171906;-12.78359699
050501;-73.94261169;-13.03605747
050502;-73.64341736;-13.06472492
050503;-73.89071655;-12.7284565
050504;-73.8659668;-13.16858387
050505;-73.57053375;-13.23001671
050506;-73.89096069;-13.23936081
050507;-73.78936005;-12.76459789
050508;-74.02307129;-12.91230583
050509;-73.7206955;-12.8602457
050510;-73.71289825;-12.95652485
050511;-73.39255524;-13.34633064
